工作資歷5,升遷速度,近三月請假數B,近一年請假數B,年齡層級,婚姻狀況,年資層級A,年資層級B,眷屬量,年資層級A+B+C
0.0,-0.9464799268459904,-0.10788703356495688,-0.12275538422942275,-0.4925548333754215,1.0,-0.9152939156786798,-1.183373497814239,-1.1619573675133792,-1.031747560643738
0.0,-0.9464799268459904,-0.10788703356495688,-0.12275538422942275,-0.12715784554495094,1.0,-0.9152939156786798,-0.6199391320763518,1.0047397994906766,-0.7652541840025667
0.0,-0.9464799268459904,-0.10788703356495688,-0.12275538422942275,-0.12715784554495094,1.0,-0.9152939156786798,-0.6199391320763518,1.0047397994906766,-0.7652541840025667
0.0,-0.3183446806229645,-0.10788703356495688,-0.12275538422942275,-0.12715784554495094,1.0,-0.9152939156786798,-0.6199391320763518,1.0047397994906766,-0.7652541840025667
0.0,2.1941963042691395,-0.10788703356495688,-0.12275538422942275,0.6036361301159904,1.0,0.7798979760092158,1.0703639651373098,1.0047397994906766,0.5672126992032895
0.0,2.1941963042691395,-0.10788703356495688,-0.12275538422942275,0.9690331179464612,1.0,1.344961939905181,1.6337983308751973,1.0047397994906766,1.1001994524856322
0.0,2.822331550492165,-0.10788703356495688,-0.12275538422942275,0.9690331179464612,1.0,1.344961939905181,1.6337983308751973,1.0047397994906766,1.1001994524856322
0.0,2.822331550492165,-0.10788703356495688,-0.12275538422942275,0.9690331179464612,1.0,1.344961939905181,1.6337983308751973,1.0047397994906766,1.1001994524856322
0.0,2.1941963042691395,-0.10788703356495688,-0.12275538422942275,1.334430105776932,1.0,1.344961939905181,0.5069295993994226,-0.07860878401135137,1.3666928291268037
0.0,2.822331550492165,-0.10788703356495688,-0.12275538422942275,1.334430105776932,1.0,1.344961939905181,1.0703639651373098,-0.07860878401135137,1.6331862057679747
0.0,2.822331550492165,-0.10788703356495688,-0.12275538422942275,1.334430105776932,1.0,1.344961939905181,1.0703639651373098,-0.07860878401135137,1.6331862057679747
